filename_a,filename_b,score,vector_score,skill_overlap,seniority,family_a,family_b,same_function,restricted,human_label
20231117_00030218_JDFN_CUPE_20231120.docx,20210318_00030218_JDFN_CUPE_20210419.docx,0.7157,0.9804,0.4211,0.8500,assistant,assistant,True,False,
20250204_00130457_JDFN_APEX_20250303.docx,20210316_00130457_JDFN_APSA_20210607.docx,0.7413,0.9031,0.5832,0.7250,unmapped,unmapped,True,False,
20070124_97834___99603_FINAL.doc,20101215_00108801_Secretary.docx,0.9155,0.9949,0.8507,0.8500,unmapped,assistant,False,False,
20100922_00001827__Clerk.doc,20160309_00118833_Clerk.docx,0.8535,0.9977,0.7101,0.8500,unmapped,assistant,False,False,
20111031_00000809_Medical_Office_Assistant.docx,20120323_00111362_Medical_Office_Assistant.doc,0.8444,0.9807,0.7069,0.8500,assistant,unmapped,False,False,
20120323_00000342_Medical_Office_Assistant.doc,20111027_00000342_Med_Office_Asst.docx,0.8449,0.9816,0.7069,0.8500,unmapped,assistant,False,False,
20130107_00110788_Program_Assistant_Gr_7_-_07Jan13.docx,"20130104_00100066_Program_Assistant,_Gr._7_-_04Jan2013.doc",0.9176,0.9787,0.8716,0.8500,assistant,unmapped,False,False,
20150730_00099603_Secretary.docx,20111115_00097834_Secretary.doc,0.8597,0.9953,0.7264,0.8500,assistant,unmapped,False,False,
20160824_00001469_Clerk.docx,20070730_01106_Clerk.doc,0.8588,0.9961,0.7234,0.8500,assistant,unmapped,False,False,
20171020_00122613_Project_Manager.docx,20201028_00121698_JDFN_APSA_20190710.docx,0.9996,0.9990,1.0000,1.0000,manager,unmapped,False,False,
"20180509_00097419,_00103132,_00122978_JDFN_APSA_20180508.docx",20130227_00103132_Portfolio_Manager.docx,0.9980,0.9956,1.0000,1.0000,unmapped,manager,False,False,
20190113_00125507_HR_Strategic_Business_Partner.docx,"20201026_00128897,_00128898,_00107686_JDFN_APEX_20201113.docx",0.9627,0.9838,1.0000,0.7000,director,unmapped,False,True,
20190721_00126771_Clerk.docx,20190804_00126852_Clerk.doc,0.9096,0.9978,0.8347,0.8500,assistant,unmapped,False,False,
20190802_00118093_Assc_Dir_Info_Sec.docx,20201028_00118093_JDFN_APSA_20190321.docx,0.9555,0.9677,1.0000,0.7000,manager,unmapped,False,False,
20190814_00123683_Sr_Director_Advancement_Services.docx,20241007_00123683_JDFN_APSA_20241209.docx,0.9633,0.9936,0.9248,1.0000,director,unmapped,False,False,
20190828_00001353_Ass_Dir_Business_Solutions.docx,20210125_00001353_JDFN_APSA_20190828.docx,0.9989,0.9977,1.0000,1.0000,manager,unmapped,False,False,
20191220_00127950_JDFN_APSA_20190710.docx,20171020_00122612_Project_Manager.docx,0.9996,0.9990,1.0000,1.0000,unmapped,manager,False,False,
20200116_00125033_JDFN_APSA_20200116.docx,20200702_00126003_JDFN_APSA_20200702.docx,0.9965,0.9923,1.0000,1.0000,unmapped,manager,False,False,
20200319_00127947_JDFN_APSA_20200319.docx,20210430_00127947_JDFN_APSA_20230803.docx,0.9999,0.9998,1.0000,1.0000,unmapped,unmapped,False,False,
"20200925_00097160,_00128417_JDFN_APSA_20190828.docx",20200402_00097160_JDFN_APSA_20200402.docx,0.9891,0.9759,1.0000,1.0000,unmapped,unmapped,False,False,
"20210210_00001740,_00030524,_00097298_JDFN_APSA_20180223.docx",20190828_00097298_Senior_Business_Analyst.docx,0.9993,0.9984,1.0000,1.0000,unmapped,unmapped,False,False,
20210830_00118093_JDFN_APSA_20210830.docx,20190802_00118093_Assc_Dir_Info_Sec.docx,0.9548,0.9662,1.0000,0.7000,unmapped,manager,False,False,
20210903_00105513_JDFN_APSA_20210903.docx,20230623_00105513_JDFN_APSA_20230623.docx,0.9997,0.9992,1.0000,1.0000,director,unmapped,False,False,
20220928_00064889_00102216_00128805_JDFN_CUPE_20220928.docx,20250821_00064889^00128805_JDFN_CUPE_20250825.docx,0.9850,1.0000,1.0000,0.8500,assistant,associate,False,False,
19950118_00031142Technician.doc,20000829_00006149Technician.doc,0.8078,0.9662,0.6400,0.8500,unmapped,unmapped,True,False,
20091203_00102307_Secretary.doc,20140522_00000461_Secretary.docx,0.8711,0.9797,0.7671,0.8500,unmapped,unmapped,True,False,
20120309_00001027_Clerk.doc,20111128_00001027_Clerk_Grade_7.doc,0.8902,0.9676,0.7885,1.0000,unmapped,unmapped,True,False,
20130515_00113325_Technician.doc,20130515_00113324_Technician.doc,1.0000,1.0000,1.0000,1.0000,unmapped,unmapped,True,False,
20150625_00001827_Clerk.docx,20160309_00118833_Clerk.docx,0.9626,1.0000,0.9503,0.8500,assistant,assistant,True,False,
20160916_00119923_Clerk_Typist.docx,20180613_00123648_Secretary.docx,0.8106,0.9385,0.6741,0.8500,assistant,assistant,True,False,
20170726_00111985_Assoc_Dir_Alumni_Relations.docx,20190418_00126034_Assoc_Dir_Alumni_Engagement.docx,0.9843,0.9651,1.0000,1.0000,manager,manager,True,False,
20180412_00116299_Academic_Student_Affairs_Advisor.docx,20180412_00031469_Academic_Student_Affairs_Advisor.docx,1.0000,1.0000,1.0000,1.0000,director,director,True,False,
20181014_00064933_Technician.docx,20190506_00124402_Technician.docx,0.8553,0.9958,0.7493,0.7000,unmapped,unmapped,True,False,
20190506_00124401_Technician.docx,20180822_00124402_AV_Technician_III.docx,0.8553,0.9958,0.7493,0.7000,unmapped,unmapped,True,False,
20190801_00110391_Director_Projects.docx,20190816_00125498_Director_Projects.docx,0.9999,0.9998,1.0000,1.0000,director,director,True,False,
20190816_00125365_Program_Mgr_Insurance_Risk.docx,20190127_00125365_Program_Mgr_Insurance_Risk.docx,1.0000,1.0000,1.0000,1.0000,manager,manager,True,False,
20191120_00000964_JDFN_CUPE_20191120.docx,20180426_00000964_Technician.docx,0.9850,1.0000,1.0000,0.8500,unmapped,unmapped,True,False,
20200401_00125902_JDFN_CUPE_20200401.docx,20190416_00125903_Clerk.docx,0.9850,1.0000,1.0000,0.8500,unmapped,unmapped,True,False,
20200602_7041_98825_704^_JDFN_APSA_20240605.docx,"20200602_00124158,_00137283_JDFN_APSA_20250722.docx",0.9955,0.9901,1.0000,1.0000,unmapped,unmapped,True,False,
20201029_00000374_JDFN_CUPE_20201029.docx,20170201_00000374_Technician.docx,0.9822,0.9937,1.0000,0.8500,unmapped,unmapped,True,False,
20210210_00112472_JDFN_APSA_20190926.docx,20210126_00130249_JDFN_APSA_20210126.docx,0.9991,0.9980,1.0000,1.0000,unmapped,unmapped,True,False,
20210520_00129818_JDFN_APSA_20210520.docx,20210520_00130819_JDFN_APSA_20210520.docx,1.0000,1.0000,1.0000,1.0000,manager,manager,True,False,
20211008_00131455_JDFN_APSA_20210923.docx,20210219_00130259_JDFN_APSA_20210122.docx,0.8056,0.9553,0.6127,1.0000,unmapped,unmapped,True,False,
20220614_00099566_JDFN_APSA_20220614.docx,20220614_129827_97250_99566_110658_130200_132149_JDFN_APSA_20220614.docx,1.0000,1.0000,1.0000,1.0000,unmapped,unmapped,True,False,
"20230401_509,_475,_474,_449,_98825^__JDFN_APSA_20250502.docx","20200601_00031501,_00031956,_00108158_JDFN_APSA_20211117.docx",0.9980,0.9956,1.0000,1.0000,unmapped,unmapped,True,False,
20240925_00000180_00031158_JDFN_CUPE_20240920.docx,20240920_00061941_JDFN_CUPE_20240920.docx,0.9850,0.9999,1.0000,0.8500,assistant,assistant,True,False,
